source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0070887,cellular response to chemical stimulus,2.5407275523342777e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2683,139,43,21031,0.30935251798561153,0.0160268356317555,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:1901700,response to oxygen-containing compound,4.984723363156822e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1663,139,32,21031,0.2302158273381295,0.019242333132892364,query_1,['GO:0042221']
GO:BP,GO:0007275,multicellular organism development,0.00010048927278201875,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4643,139,59,21031,0.4244604316546763,0.012707301313805729,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0042221,response to chemical,0.0003516132370663578,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3957,139,52,21031,0.37410071942446044,0.013141268637856963,query_1,['GO:0050896']
GO:BP,GO:0010033,response to organic substance,0.00043741744820142845,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]",2637,139,40,21031,0.28776978417266186,0.015168752370117557,query_1,['GO:0042221']
GO:BP,GO:0030154,cell differentiation,0.0005286732843165876,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4366,139,55,21031,0.39568345323741005,0.012597343105817681,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,0.0005328119559857371,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4367,139,55,21031,0.39568345323741005,0.012594458438287154,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0048731,system development,0.001045077915082533,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",3973,139,51,21031,0.3669064748201439,0.012836647369745784,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0051239,regulation of multicellular organismal process,0.001164065473132442,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2955,139,42,21031,0.302158273381295,0.014213197969543147,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:1901701,cellular response to oxygen-containing compound,0.0013584251352955546,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1179,139,24,21031,0.17266187050359713,0.020356234096692113,query_1,"['GO:0070887', 'GO:1901700']"
