source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0050896,response to stimulus,1.1297872497547012e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8976,139,93,21031,0.6690647482014388,0.01036096256684492,query_1,['GO:0008150']
GO:BP,GO:0070887,cellular response to chemical stimulus,2.5407275523342777e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2683,139,43,21031,0.30935251798561153,0.0160268356317555,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:1901700,response to oxygen-containing compound,4.984723363156822e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1663,139,32,21031,0.2302158273381295,0.019242333132892364,query_1,['GO:0042221']
GO:BP,GO:0007275,multicellular organism development,0.00010048927278201875,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4643,139,59,21031,0.4244604316546763,0.012707301313805729,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0051716,cellular response to stimulus,0.000236972827257548,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7394,139,79,21031,0.5683453237410072,0.010684338652961861,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0050789,regulation of biological process,0.00031659891149334675,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12287,139,110,21031,0.7913669064748201,0.008952551477170993,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0042221,response to chemical,0.0003516132370663578,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3957,139,52,21031,0.37410071942446044,0.013141268637856963,query_1,['GO:0050896']
GO:BP,GO:0065007,biological regulation,0.000399108936754392,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12680,139,112,21031,0.8057553956834532,0.008832807570977918,query_1,['GO:0008150']
GO:BP,GO:0010033,response to organic substance,0.00043741744820142845,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]",2637,139,40,21031,0.28776978417266186,0.015168752370117557,query_1,['GO:0042221']
GO:BP,GO:0030154,cell differentiation,0.0005286732843165876,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4366,139,55,21031,0.39568345323741005,0.012597343105817681,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,0.0005328119559857371,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4367,139,55,21031,0.39568345323741005,0.012594458438287154,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0048856,anatomical structure development,0.0005930128712907631,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5899,139,67,21031,0.48201438848920863,0.011357857263943042,query_1,['GO:0032502']
GO:BP,GO:0048731,system development,0.001045077915082533,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",3973,139,51,21031,0.3669064748201439,0.012836647369745784,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0051239,regulation of multicellular organismal process,0.001164065473132442,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2955,139,42,21031,0.302158273381295,0.014213197969543147,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0007154,cell communication,0.0011694225788736496,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6537,139,71,21031,0.5107913669064749,0.010861251338534496,query_1,['GO:0009987']
GO:BP,GO:1901701,cellular response to oxygen-containing compound,0.0013584251352955546,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1179,139,24,21031,0.17266187050359713,0.020356234096692113,query_1,"['GO:0070887', 'GO:1901700']"
GO:BP,GO:0032502,developmental process,0.0016222359668431388,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6453,139,70,21031,0.5035971223021583,0.010847667751433442,query_1,['GO:0008150']
GO:BP,GO:0050793,regulation of developmental process,0.0016928228280104493,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2455,139,37,21031,0.26618705035971224,0.015071283095723014,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0050794,regulation of cellular process,0.0017751174944403655,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11738,139,105,21031,0.7553956834532374,0.008945305844266485,query_1,"['GO:0009987', 'GO:0050789']"
